Date,Product,Region,Salesperson,Quantity,UnitPrice,Sales
2025-02-21,Smartwatch,West,Charlie,12,248,2976
2025-01-15,Headphones,South,Ethan,7,1452,10164
2025-03-13,Printer,East,Ethan,8,1279,10232
2025-03-02,Camera,North,Bob,2,289,578
2025-01-21,Phone,Central,Charlie,5,1617,8085
2025-03-24,Smartwatch,South,Charlie,1,982,982
2025-03-28,Tablet,West,Diana,7,362,2534
2025-03-16,Phone,South,Ethan,8,1203,9624
2025-03-16,Tablet,North,Alice,13,499,6487
2025-03-29,Printer,West,Ethan,6,863,5178
2025-01-24,Laptop,East,Ethan,5,708,3540
2025-01-03,Phone,South,Diana,6,1383,8298
2025-01-22,Smartwatch,North,Alice,2,1895,3790
2025-02-22,Phone,Central,Diana,1,1738,1738
2025-01-02,Phone,West,Alice,7,1675,11725
2025-03-29,Phone,South,Bob,7,884,6188
2025-01-30,Camera,South,Alice,10,200,2000
2025-02-07,Phone,East,Diana,11,1482,16302
2025-01-02,Tablet,East,Ethan,10,1503,15030
2025-03-05,Laptop,Central,Alice,14,919,12866
2025-03-01,Printer,Central,Alice,2,1344,2688
2025-01-21,Headphones,North,Charlie,2,919,1838
2025-02-02,Phone,North,Ethan,1,519,519
2025-03-17,Smartwatch,Central,Bob,10,223,2230
2025-02-27,Phone,Central,Diana,8,521,4168
2025-01-22,Smartwatch,West,Bob,8,1354,10832
2025-03-30,Tablet,East,Ethan,1,1813,1813
2025-02-18,Smartwatch,North,Alice,12,1186,14232
2025-02-28,Headphones,East,Alice,11,1608,17688
2025-02-11,Laptop,East,Ethan,8,1751,14008
2025-03-01,Smartwatch,Central,Alice,9,1826,16434
2025-03-21,Smartwatch,West,Alice,14,1697,23758
2025-01-15,Laptop,South,Alice,4,867,3468
2025-03-03,Headphones,West,Diana,1,582,582
2025-03-03,Phone,West,Diana,1,618,618
2025-02-16,Smartwatch,East,Charlie,3,254,762
2025-03-03,Laptop,West,Bob,14,191,2674
2025-02-20,Tablet,North,Ethan,5,1081,5405
2025-02-24,Laptop,East,Ethan,5,1649,8245
2025-03-05,Tablet,North,Ethan,9,554,4986
2025-01-03,Headphones,South,Charlie,10,1864,18640
2025-02-20,Phone,East,Diana,14,697,9758
2025-01-07,Laptop,South,Charlie,12,1768,21216
2025-01-21,Printer,East,Ethan,2,609,1218
2025-03-14,Printer,Central,Bob,2,1306,2612
2025-02-08,Camera,West,Alice,6,485,2910
2025-01-18,Smartwatch,Central,Diana,9,1697,15273
2025-01-04,Headphones,South,Diana,1,1854,1854
2025-03-30,Laptop,West,Charlie,9,504,4536
2025-03-01,Printer,East,Diana,9,345,3105
2025-01-14,Smartwatch,West,Ethan,13,841,10933
2025-01-09,Printer,North,Ethan,9,1714,15426
2025-03-31,Laptop,West,Charlie,5,760,3800
2025-02-22,Tablet,North,Ethan,13,749,9737
2025-01-02,Laptop,West,Bob,9,1594,14346
2025-03-25,Camera,North,Charlie,11,1949,21439
2025-03-01,Laptop,South,Bob,4,1546,6184
2025-03-12,Laptop,Central,Alice,2,1000,2000
2025-02-13,Camera,East,Bob,13,164,2132
2025-01-08,Headphones,West,Alice,6,1136,6816
2025-02-16,Laptop,Central,Alice,14,312,4368
2025-02-04,Camera,East,Bob,4,341,1364
2025-03-19,Smartwatch,East,Charlie,6,592,3552
2025-03-22,Tablet,North,Ethan,3,1336,4008
2025-02-05,Tablet,South,Ethan,6,1816,10896
2025-02-19,Laptop,South,Alice,2,437,874
2025-01-04,Headphones,Central,Alice,2,272,544
2025-01-02,Headphones,South,Charlie,13,771,10023
2025-01-06,Smartwatch,West,Diana,9,263,2367
2025-02-23,Laptop,South,Bob,7,564,3948
2025-01-04,Tablet,Central,Alice,3,1094,3282
2025-02-23,Headphones,South,Ethan,13,596,7748
2025-03-04,Laptop,West,Charlie,11,799,8789
2025-01-18,Printer,North,Bob,1,494,494
2025-03-31,Headphones,Central,Charlie,8,802,6416
2025-02-13,Camera,North,Bob,14,407,5698
2025-02-03,Printer,North,Bob,6,1891,11346
2025-03-15,Headphones,North,Alice,7,282,1974
2025-03-03,Tablet,East,Charlie,9,728,6552
2025-01-14,Phone,East,Charlie,5,1917,9585
2025-02-17,Printer,North,Ethan,1,609,609
2025-01-15,Smartwatch,Central,Ethan,12,1831,21972
2025-03-13,Smartwatch,West,Alice,10,645,6450
2025-03-19,Tablet,West,Alice,7,1687,11809
2025-03-28,Headphones,South,Diana,5,723,3615
2025-03-03,Laptop,Central,Ethan,3,1887,5661
2025-02-09,Headphones,East,Bob,12,693,8316
2025-03-26,Tablet,North,Charlie,13,843,10959
2025-03-21,Smartwatch,South,Alice,9,1350,12150
2025-03-23,Headphones,West,Charlie,1,1868,1868
2025-02-22,Smartwatch,East,Charlie,1,1856,1856
2025-01-24,Printer,East,Diana,1,1559,1559
2025-01-26,Laptop,North,Ethan,3,1545,4635
2025-03-30,Printer,West,Alice,12,653,7836
2025-03-01,Smartwatch,Central,Charlie,6,120,720
2025-02-10,Smartwatch,East,Alice,10,653,6530
2025-01-29,Phone,North,Bob,11,496,5456
2025-01-15,Phone,Central,Diana,3,724,2172
2025-02-14,Printer,West,Bob,8,204,1632
2025-03-06,Camera,East,Alice,14,291,4074
2025-03-30,Printer,Central,Alice,14,116,1624
2025-03-12,Phone,Central,Ethan,10,1243,12430
2025-01-09,Smartwatch,Central,Charlie,2,492,984
2025-03-29,Tablet,East,Charlie,14,524,7336
2025-01-01,Printer,East,Bob,9,228,2052
2025-01-08,Smartwatch,South,Diana,3,1253,3759
2025-03-29,Tablet,West,Charlie,5,671,3355
2025-03-04,Tablet,North,Ethan,10,1683,16830
2025-01-11,Phone,Central,Bob,8,128,1024
2025-03-22,Printer,South,Bob,2,1220,2440
2025-01-08,Headphones,North,Ethan,6,1133,6798
2025-02-04,Laptop,South,Diana,12,341,4092
2025-02-04,Phone,East,Ethan,5,1949,9745
2025-02-02,Phone,Central,Diana,13,331,4303
2025-01-05,Headphones,North,Ethan,10,888,8880
2025-02-10,Laptop,North,Ethan,9,1407,12663
